year,C.N_mean,C.N_SD,C.N_lowCI,C.N_highCI,C.P_mean,C.P_SD,C.P_lowCI,C.P_highCI,N.P_mean,N.P_SD,N.P_lowCI,N.P_highCI
1970,4.479878116529,0.269215945768059,3.95673790865256,4.99596478308341,48.3126007999672,6.72801264340779,33.0192841765647,59.9945538817537,10.7976005134674,1.45872083350733,7.16435037386587,13.0271440476136
1971,4.49547541367549,0.218724135961762,4.13006128945695,4.94750693225694,47.2863100096253,5.29383785193461,36.8822125198482,56.7790049665639,10.52486821289,1.12063678281211,8.40690904872778,12.3639628340645
1972,4.60983665810367,0.0972581460732087,4.44442765238536,4.81203960232878,49.4685692341448,2.40158595895824,44.3173759388016,53.6618429204645,10.7310295968182,0.466319474860447,9.80363112466676,11.486900514755
1973,4.67072476630116,0.0565931687336008,4.56854538523667,4.77125602234791,49.9544490398075,1.2516052062328,47.4456871689856,52.1715655050327,10.6958350020785,0.261544550028886,10.1832274453603,11.1610009255819
1974,4.62351679475767,0.0961922909213984,4.46191254852948,4.83849591805681,49.5952174877413,2.32746669811189,43.8862036449675,53.5394027509814,10.7283668659952,0.48913083770764,9.53717465483612,11.439000638485
1975,4.64190852791766,0.0737655795958452,4.49462917540663,4.79029008169822,49.9727823510207,1.62644900909169,46.2437023266809,52.5983099952251,10.767045243776,0.353923375757523,10.0778630383835,11.2956995230695
1976,4.61773982486632,0.0914550499210945,4.46945423398353,4.80668588159193,49.7481123954776,2.43680987356174,44.5801608143544,54.4440654695563,10.7747187832209,0.511194337490185,9.78155984796716,11.4960818237926
1977,4.66598615258709,0.0418170588457962,4.58844917968483,4.75708303360295,50.5501738938637,0.716823409101909,48.976579416427,51.8414680901084,10.8343156523502,0.161965222785557,10.449486920778,11.1364393799767
1978,4.65510012241084,0.0446069867879197,4.58322683928518,4.74403593222297,50.3056202795008,1.00281117362808,48.3581051408521,51.8651176736166,10.8069430038719,0.20957500802093,10.3604405372938,11.1065090682643
1979,4.61483420629616,0.0421992008405099,4.53705655071499,4.70185633412829,50.0054618379806,1.12664888213745,47.7524609395887,51.9339231419019,10.8359914671038,0.232111256289538,10.3742122708441,11.1946550275362
1980,4.62925997107243,0.0370721411881885,4.5542360218357,4.69564430982128,50.1936962092233,0.865185758751023,48.6216431240779,51.7269796613287,10.842776507903,0.170062027594928,10.4859607937169,11.125912935437
1981,4.61328899618637,0.03478885325468,4.55330528634107,4.68323119421278,49.8684419912283,1.04192827872064,47.813743229616,52.2247236840468,10.8096528380496,0.20613605389553,10.4625661815111,11.2581813925343
1982,4.60670768033837,0.0430378596423331,4.52680173772615,4.68872454440633,49.9150836467502,1.13497001738977,47.4000151310274,51.8734225232944,10.8355012550437,0.233757122948196,10.2713859646468,11.1979433921334
1983,4.62960249206129,0.0395491618703998,4.57032023391122,4.7115504635063,50.2617204816949,0.841012911678592,48.6482098462927,51.7063408873719,10.8566229124961,0.158190835520361,10.5606713141883,11.1567754238977
1984,4.61228462960642,0.0381089549660997,4.53577083342928,4.6789255928452,50.5638784166809,0.704735420840091,48.992337903236,51.8727838950937,10.9630825655233,0.140681493240981,10.7222279842728,11.1820698830926
1985,4.59070213711758,0.039581959355197,4.52284161157435,4.6619828346086,50.3070539184066,0.734221642553617,48.9547244816012,51.6592378218126,10.9587080054817,0.148369938990656,10.6631276994809,11.2083213397658
1986,4.54636222368659,0.0604210513001313,4.41955064971297,4.63988119543011,49.3564180048235,1.38826489914658,47.1755630989748,52.0122880943003,10.8579254692012,0.329219687468899,10.3088744745688,11.5178019980281
